gloss,signer,token_id,view_id,src,start_frame,end_frame,native_fps
WATER,signer001,water_signer001_1,front_a,https://dai.cs.rutgers.edu/asllvd//signs_mov_separ_signers/water_signer001_1.mp4
EAT,signer004,eat_signer004_1,front_a,https://dai.cs.rutgers.edu/asllvd//signs_mov_separ_signers/eat_signer004_1.mp4
DRINK,signer001,drink_signer001_1,front_b,https://dai.cs.rutgers.edu/asllvd//signs_mov_separ_signers/drink_signer001_1.mp4
BATHROOM,signer001,bathroom_signer001_2,front_a,https://dai.cs.rutgers.edu/dai/s/video?id=8418&type=separate&datasource=T
LIKE,signer002,like_signer002_1,front_a,https://dai.cs.rutgers.edu/dai/s/video?id=5446&type=separate&datasource=T
HOME,signer002,home_signer002_1,front_a,https://dai.cs.rutgers.edu/dai/s/video?id=5446&type=separate&datasource=T
SLEEP,signer002,sleep_signer002_1,front_a,https://dai.cs.rutgers.edu/dai/s/video?id=7828&type=separate&datasource=T
WHERE,signer004,where_signer004_1,front_a,https://dai.cs.rutgers.edu/dai/s/video?id=8834&type=separate&datasource=T
WHO,signer002,who_signer002_1,front_b,https://dai.cs.rutgers.edu/dai/s/video?id=8857&type=separate&datasource=T
NO,signer003,no_signer003_1,front_a,https://www.bu.edu/asllvd/videos/no_signer003_1.mp4,0,46,30
HOT,signer001,hot_signer001_1,front_a,https://www.bu.edu/asllvd/videos/hot_signer001_1.mp4,0,56,30
CLEAN,signer003,clean_signer003_1,front_b,https://www.bu.edu/asllvd/videos/clean_signer003_1.mp4,0,31,30
DIRTY,signer005,dirty_signer005_1,front_b,https://www.bu.edu/asllvd/videos/dirty_signer005_1.mp4,0,76,30
PAY,signer001,pay_signer001_1,front_a,https://www.bu.edu/asllvd/videos/pay_signer001_1.mp4,0,36,30
HELLO,signer002,hello_signer002_1,front_a,https://www.bu.edu/asllvd/videos/hello_signer002_1.mp4,0,48,30
GOODBYE,signer003,goodbye_signer003_1,front_b,https://www.bu.edu/asllvd/videos/goodbye_signer003_1.mp4,0,75,30
PLEASE,signer005,please_signer005_2,front_a,https://www.bu.edu/asllvd/videos/please_signer005_2.mp4,0,64,30
THANK YOU,signer003,thank_you_signer003_1,front_a,https://www.bu.edu/asllvd/videos/thank_you_signer003_1.mp4,0,53,30
NICE,signer005,nice_signer005_2,front_a,https://www.bu.edu/asllvd/videos/nice_signer005_2.mp4,0,67,30
LATER,signer002,later_signer002_1,front_a,https://www.bu.edu/asllvd/videos/later_signer002_1.mp4,0,60,30
